Results for float precision. Forward
n, 50, 100, 200, 500, 1000
s, FORWARD, FORWARD, FORWARD, FORWARD, FORWARD
2,0.82227098942,0.82241749763,0.82245469093,0.82246536016,0.82246685028
3.6667,0.93469303846,0.93469321728,0.93469321728,0.93469321728,0.93469321728
5,0.9721198082,0.9721198082,0.9721198082,0.9721198082,0.9721198082
7.2,0.99352705479,0.99352705479,0.99352705479,0.99352705479,0.99352705479
10,0.99903953075,0.99903953075,0.99903953075,0.99903953075,0.99903953075

Results for float precision. Backward
n, 50, 100, 200, 500, 1000
s, BACKWARD, BACKWARD, BACKWARD, BACKWARD, BACKWARD
2,0.82227104902,0.82241749763,0.82245457172,0.82246506214,0.82246649265
3.6667,0.93469303846,0.93469333649,0.93469333649,0.93469333649,0.93469333649
5,0.97211974859,0.97211974859,0.97211974859,0.97211974859,0.97211974859
7.2,0.99352699518,0.99352699518,0.99352699518,0.99352699518,0.99352699518
10,0.99903953075,0.99903953075,0.99903953075,0.99903953075,0.99903953075

Results for double precision. Forward
n, 50, 100, 200, 500, 1000
s, FORWARD, FORWARD, FORWARD, FORWARD, FORWARD
2,0.82227104902,0.82241755724,0.82245457172,0.82246506214,0.82246655226
3.6667,0.93469303846,0.93469333649,0.93469333649,0.93469333649,0.93469333649
5,0.97211974859,0.97211974859,0.97211974859,0.97211974859,0.97211974859
7.2,0.99352699518,0.99352699518,0.99352699518,0.99352699518,0.99352699518
10,0.99903953075,0.99903953075,0.99903953075,0.99903953075,0.99903953075

Results for double precision. Backward
n, 50, 100, 200, 500, 1000
s, BACKWARD, BACKWARD, BACKWARD, BACKWARD, BACKWARD
2,0.82227104902,0.82241755724,0.82245457172,0.82246506214,0.82246655226
3.6667,0.93469303846,0.93469333649,0.93469333649,0.93469333649,0.93469333649
5,0.97211974859,0.97211974859,0.97211974859,0.97211974859,0.97211974859
7.2,0.99352699518,0.99352699518,0.99352699518,0.99352699518,0.99352699518
10,0.99903953075,0.99903953075,0.99903953075,0.99903953075,0.99903953075
